Id,Player,Team,Nation,Pos,Age,PT-MP,PT-Starts,PT-Minutues,P-Non-PG,P-PG,P-Ast,P-CrdY,P-CrdR,E-xG,E-npxG,E-xAG,Prg-C,Prg-P,Prg-R,P90-Gls,P90-Ast,P90-G+A,P90-G-PK,P90-G+A-PK,P90-xG,P90-xAG,P90-xG+xAG,P90-npxG,P90-npxGxAG90,P-GA,P-GA90,P-SoTA,P-Saves,P-Save%,P-W,P-D,P-L,P-CS,P-CS%,PK-PKatt,PK-PKA,PK-PKsv,PK-PKm,PK-Save%,st_gls,st_sh,st_soT,st_soTPer,st_sh90,st_soT90,st_GSh,st_GsoT,st_Dist,st_FK,st_PK,st_PKatt,st_xG,st_npxG,st_npxGSh,st_GxG,st_np,ptCmp,ptAtt,ptCmpPer,ptTotDist,ptPrgDist,psCmp,psAtt,psCmpPer,pmCmp,pmAtt,pmCmpPer,plCmp,plAtt,plCmpPer,pxAst,pxAG,pxA,pAxAG,pKP,p13,pPPA,pCrsPA,pPrgP,typeLive,typeDead,typeFK,typeTB,typeSw,typeCrs,typeTI,typeCK,CKIn,CKOut,Str,OcCmp,OcOff,OcBlocks,SCA,SCA90,SCATPassLive,SCATPassDead,SACTTO,SCATSh,SCATFld,SCATDef,GCA,GCA90,GCATPassLive,GCATPassDead,GCATTO,GCATSh,GCATFld,GCATDef,TTkl,TklW,Def3rd,Mid3rd,Att3rd,CTkl,DefAtt,CTklPer,Lost,Blocks,BlkSh,BlkPass,BlkInt,BlkTklInt,BlkClr,BlkErr,poss_ids,ptTouches,ptDefPen,ptDef3rd,ptMid3rd,ptAtt3rd,ptAttPen,ptLive,ptoAtt,ptoSucc,ptoSuccPer,ptoTkld,ptoTlkdPer,pcCarries,pcToDist,pcPrgDist,pcPrgC,pc13,pcCPA,pcMis,pcDis,prRec,prPrgR,pltStarts,pltMnSt,pltCompl,pltSubs,pltMnSub,pltUnSub,pltTSPPM,pltTSonG,pltTSonGA,pltTSonxG,pltTSonxGA,miscFls,miscFld,miscOff,miscCrs,miscOG,miscRecov,miscWon,miscLost,miscWonPer
972aeb2a,William Saliba,Arsenal,fr FRA,DF,22,38,38,"3,420",2,0,1.0,4.0,0.0,1.6,1.6,0.2,16.0,157.0,6.0,0.05,0.03,0.08,0.05,0.08,0.04,0.01,0.05,0.04,0.05,,,,,,,,,,,,,,,,2.0,10.0,3.0,30.0,0.26,0.08,0.2,0.67,10.5,0.0,0.0,0.0,1.6,1.6,0.16,0.4,0.4,2635.0,2851.0,92.4,43599.0,15948.0,1202.0,1274.0,94.3,1298.0,1373.0,94.5,104.0,150.0,69.3,1.0,0.2,0.9,0.8,6.0,175.0,6.0,1.0,157.0,2794.0,55.0,33.0,3.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,2635.0,2.0,11.0,29.0,0.76,26.0,0.0,1.0,2.0,0.0,0.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,41.0,26.0,28.0,12.0,1.0,20.0,27.0,74.1,7.0,32.0,17.0,15.0,29.0,70.0,81.0,3.0,3093.0,223.0,1239.0,1720.0,142.0,15.0,3093.0,15.0,10.0,66.7,4.0,26.7,1992.0,9002.0,5201.0,16.0,22.0,1.0,22.0,13.0,2297.0,6.0,,38,90.0,38,0,,0,2.34,91.0,29.0,76.1,27.9,22.0,16.0,0.0,3.0,0.0,213.0,72.0,49.0,59.5
1c7012b8,Declan Rice,Arsenal,eng ENG,MF,24,38,37,"3,225",7,0,8.0,5.0,0.0,3.3,3.3,5.3,75.0,278.0,64.0,0.2,0.22,0.42,0.2,0.42,0.09,0.15,0.24,0.09,0.24,,,,,,,,,,,,,,,,7.0,58.0,20.0,34.5,1.62,0.56,0.12,0.35,20.4,2.0,0.0,0.0,3.3,3.3,0.06,3.7,3.7,2041.0,2295.0,88.9,34242.0,9378.0,958.0,1031.0,92.9,910.0,975.0,93.3,137.0,210.0,65.2,8.0,5.3,4.8,2.7,47.0,240.0,39.0,2.0,278.0,2181.0,107.0,48.0,2.0,17.0,60.0,1.0,47.0,38.0,0.0,0.0,2041.0,7.0,26.0,100.0,2.79,71.0,16.0,3.0,5.0,0.0,5.0,12.0,0.33,6.0,5.0,0.0,1.0,0.0,0.0,83.0,51.0,37.0,38.0,8.0,32.0,57.0,56.1,25.0,37.0,11.0,26.0,44.0,127.0,52.0,0.0,2650.0,100.0,581.0,1398.0,696.0,67.0,2650.0,46.0,21.0,45.7,20.0,43.5,1675.0,10194.0,5139.0,75.0,70.0,16.0,31.0,22.0,1928.0,64.0,,37,87.0,29,1,24.0,0,2.34,84.0,28.0,71.6,26.5,34.0,13.0,2.0,60.0,0.0,178.0,39.0,43.0,47.6
79300479,Martin Ødegaard,Arsenal,no NOR,MF,24,35,35,"3,091",6,2,10.0,2.0,0.0,7.4,5.8,9.6,91.0,344.0,202.0,0.23,0.29,0.52,0.17,0.47,0.22,0.28,0.5,0.17,0.45,,,,,,,,,,,,,,,,8.0,75.0,21.0,28.0,2.18,0.61,0.08,0.29,20.2,4.0,2.0,2.0,7.4,5.8,0.08,0.6,0.2,1692.0,2006.0,84.3,25780.0,7898.0,907.0,992.0,91.4,635.0,744.0,85.3,91.0,140.0,65.0,10.0,9.6,11.2,0.4,102.0,160.0,130.0,13.0,344.0,1887.0,103.0,55.0,39.0,3.0,77.0,13.0,26.0,21.0,1.0,0.0,1692.0,16.0,38.0,220.0,6.41,178.0,17.0,8.0,10.0,6.0,1.0,23.0,0.67,18.0,2.0,0.0,2.0,1.0,0.0,49.0,17.0,18.0,21.0,10.0,17.0,58.0,29.3,41.0,23.0,1.0,22.0,15.0,64.0,5.0,0.0,2326.0,24.0,244.0,926.0,1173.0,165.0,2324.0,81.0,37.0,45.7,38.0,46.9,1563.0,8190.0,3514.0,91.0,83.0,37.0,53.0,58.0,1827.0,202.0,,35,88.0,22,0,,1,2.37,81.0,23.0,68.6,24.9,30.0,36.0,3.0,77.0,0.0,158.0,3.0,9.0,25.0
35e413f1,Ben White,Arsenal,eng ENG,DF,25,37,35,"2,988",4,0,4.0,8.0,0.0,1.2,1.2,3.8,44.0,192.0,162.0,0.12,0.12,0.24,0.12,0.24,0.03,0.11,0.15,0.03,0.15,,,,,,,,,,,,,,,,4.0,13.0,6.0,46.2,0.39,0.18,0.31,0.67,13.2,0.0,0.0,0.0,1.2,1.2,0.09,2.8,2.8,1828.0,2177.0,84.0,28002.0,9801.0,999.0,1099.0,90.9,713.0,832.0,85.7,85.0,171.0,49.7,4.0,3.8,3.7,0.2,38.0,172.0,45.0,10.0,192.0,1922.0,251.0,46.0,5.0,11.0,57.0,205.0,0.0,0.0,0.0,0.0,1828.0,4.0,21.0,86.0,2.59,76.0,5.0,1.0,2.0,0.0,2.0,7.0,0.21,6.0,0.0,0.0,1.0,0.0,0.0,48.0,28.0,20.0,22.0,6.0,26.0,58.0,44.8,32.0,48.0,22.0,26.0,32.0,80.0,77.0,1.0,2456.0,120.0,633.0,1165.0,676.0,64.0,2456.0,22.0,9.0,40.9,12.0,54.5,1321.0,4867.0,2672.0,44.0,34.0,9.0,26.0,9.0,1675.0,162.0,,35,85.0,27,2,7.0,0,2.32,81.0,26.0,67.4,24.7,19.0,12.0,11.0,57.0,0.0,120.0,36.0,22.0,62.1
bc7dc64d,Bukayo Saka,Arsenal,eng ENG,FW,21,35,35,"2,919",10,6,9.0,4.0,0.0,15.5,10.8,10.5,155.0,126.0,508.0,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,,,,,,,,,,,,,,,,16.0,102.0,31.0,30.4,3.14,0.96,0.1,0.32,16.3,0.0,6.0,6.0,15.5,10.8,0.11,0.5,-0.8,1143.0,1512.0,75.6,16891.0,4402.0,705.0,793.0,88.9,331.0,427.0,77.5,80.0,183.0,43.7,9.0,10.5,11.0,-1.5,91.0,39.0,73.0,12.0,126.0,1365.0,138.0,7.0,4.0,3.0,181.0,12.0,119.0,99.0,0.0,0.0,1143.0,9.0,50.0,188.0,5.8,137.0,26.0,10.0,9.0,4.0,2.0,21.0,0.65,16.0,2.0,1.0,1.0,1.0,0.0,66.0,35.0,22.0,24.0,20.0,26.0,59.0,44.1,33.0,43.0,2.0,41.0,15.0,81.0,24.0,1.0,1952.0,37.0,182.0,474.0,1310.0,271.0,1946.0,122.0,49.0,40.2,54.0,44.3,1223.0,7180.0,3728.0,155.0,68.0,72.0,56.0,53.0,1393.0,508.0,,35,83.0,17,0,,0,2.29,78.0,27.0,66.4,25.0,41.0,69.0,8.0,181.0,0.0,155.0,23.0,36.0,39.0
67ac5bb8,Gabriel Magalhães,Arsenal,br BRA,DF,25,36,34,"3,044",4,0,0.0,4.0,0.0,4.3,4.3,0.7,13.0,117.0,8.0,0.12,0.0,0.12,0.12,0.12,0.13,0.02,0.15,0.13,0.15,,,,,,,,,,,,,,,,4.0,31.0,10.0,32.3,0.92,0.3,0.13,0.4,7.9,0.0,0.0,0.0,4.3,4.3,0.14,-0.3,-0.3,1914.0,2157.0,88.7,32123.0,10388.0,841.0,885.0,95.0,942.0,1013.0,93.0,108.0,199.0,54.3,0.0,0.7,0.7,-0.7,3.0,143.0,9.0,1.0,117.0,2030.0,122.0,53.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1914.0,5.0,22.0,23.0,0.68,20.0,1.0,0.0,1.0,0.0,1.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,48.0,28.0,24.0,22.0,2.0,17.0,22.0,77.3,5.0,44.0,33.0,11.0,31.0,79.0,100.0,1.0,2447.0,321.0,1049.0,1176.0,234.0,42.0,2447.0,5.0,2.0,40.0,2.0,40.0,1447.0,6001.0,3455.0,13.0,37.0,1.0,12.0,3.0,1702.0,8.0,,34,89.0,32,2,13.0,2,2.36,78.0,26.0,65.0,25.7,35.0,34.0,1.0,4.0,1.0,136.0,77.0,62.0,55.4
98ea5115,David Raya,Arsenal,es ESP,GK,27,32,32,"2,880",0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.75,69.0,45.0,68.1,23.0,4.0,5.0,16.0,50.0,3.0,2.0,1.0,0.0,33.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,800.0,1068.0,74.9,19691.0,14108.0,228.0,231.0,98.7,387.0,391.0,99.0,183.0,439.0,41.7,0.0,0.0,0.1,0.0,0.0,30.0,0.0,0.0,2.0,898.0,167.0,71.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,3.0,2.0,4.0,0.12,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,1099.0,764.0,1060.0,39.0,0.0,0.0,1099.0,0.0,0.0,,0.0,,728.0,3442.0,1992.0,0.0,0.0,0.0,1.0,0.0,637.0,0.0,,32,90.0,32,0,,3,2.28,80.0,24.0,65.0,22.1,0.0,4.0,0.0,0.0,0.0,38.0,5.0,1.0,83.3
fed7cb61,Kai Havertz,Arsenal,de GER,"MF,FW",24,37,30,"2,634",12,1,7.0,11.0,0.0,12.3,11.6,4.4,55.0,99.0,191.0,0.44,0.24,0.68,0.41,0.65,0.42,0.15,0.57,0.39,0.54,,,,,,,,,,,,,,,,13.0,68.0,27.0,39.7,2.32,0.92,0.18,0.44,12.4,0.0,1.0,1.0,12.3,11.6,0.17,0.7,0.4,764.0,955.0,80.0,9583.0,2405.0,525.0,609.0,86.2,195.0,245.0,79.6,7.0,15.0,46.7,7.0,4.4,4.3,2.6,46.0,65.0,29.0,1.0,99.0,938.0,12.0,3.0,2.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,764.0,5.0,16.0,106.0,3.62,87.0,0.0,3.0,8.0,6.0,2.0,22.0,0.75,16.0,0.0,2.0,2.0,2.0,0.0,35.0,15.0,7.0,21.0,7.0,14.0,39.0,35.9,25.0,26.0,1.0,25.0,20.0,55.0,22.0,0.0,1282.0,29.0,143.0,541.0,611.0,184.0,1281.0,42.0,16.0,38.1,19.0,45.2,686.0,3077.0,1532.0,55.0,36.0,23.0,54.0,35.0,918.0,191.0,,30,83.0,18,7,19.0,0,2.41,77.0,22.0,60.7,20.6,49.0,44.0,15.0,12.0,0.0,122.0,102.0,101.0,50.2
48a5a5d6,Gabriel Martinelli,Arsenal,br BRA,FW,22,35,24,"2,019",6,0,4.0,1.0,0.0,6.8,6.8,6.1,127.0,65.0,345.0,0.27,0.18,0.45,0.27,0.45,0.31,0.27,0.58,0.31,0.58,,,,,,,,,,,,,,,,6.0,58.0,20.0,34.5,2.59,0.89,0.1,0.3,15.6,0.0,0.0,0.0,6.8,6.8,0.12,-0.8,-0.8,724.0,929.0,77.9,11003.0,2008.0,424.0,490.0,86.5,237.0,292.0,81.2,47.0,85.0,55.3,4.0,6.1,5.2,-2.1,46.0,22.0,33.0,7.0,65.0,878.0,49.0,3.0,3.0,3.0,109.0,11.0,35.0,30.0,0.0,0.0,724.0,2.0,29.0,92.0,4.1,63.0,6.0,12.0,8.0,1.0,2.0,11.0,0.49,7.0,1.0,1.0,2.0,0.0,0.0,30.0,24.0,9.0,12.0,9.0,13.0,32.0,40.6,19.0,23.0,1.0,22.0,5.0,35.0,9.0,1.0,1241.0,12.0,96.0,315.0,844.0,196.0,1241.0,114.0,40.0,35.1,61.0,53.5,856.0,5863.0,2981.0,127.0,49.0,82.0,54.0,41.0,956.0,345.0,,24,74.0,4,11,22.0,0,2.34,52.0,23.0,43.8,14.5,23.0,24.0,9.0,109.0,0.0,95.0,15.0,26.0,36.6
51cf8561,Oleksandr Zinchenko,Arsenal,ua UKR,DF,26,27,20,"1,722",1,0,2.0,2.0,0.0,0.6,0.6,2.5,40.0,229.0,58.0,0.05,0.1,0.16,0.05,0.16,0.03,0.13,0.16,0.03,0.16,,,,,,,,,,,,,,,,1.0,17.0,3.0,17.6,0.89,0.16,0.06,0.33,24.0,0.0,0.0,0.0,0.6,0.6,0.03,0.4,0.4,1374.0,1568.0,87.6,23132.0,6928.0,653.0,706.0,92.5,601.0,667.0,90.1,95.0,134.0,70.9,2.0,2.5,2.9,-0.5,29.0,154.0,49.0,4.0,229.0,1395.0,165.0,46.0,11.0,5.0,30.0,119.0,0.0,0.0,0.0,0.0,1374.0,8.0,14.0,67.0,3.5,64.0,1.0,1.0,1.0,0.0,0.0,6.0,0.31,5.0,1.0,0.0,0.0,0.0,0.0,50.0,30.0,19.0,24.0,7.0,35.0,52.0,67.3,17.0,18.0,3.0,15.0,20.0,70.0,26.0,2.0,1729.0,46.0,335.0,885.0,519.0,28.0,1729.0,14.0,7.0,50.0,5.0,35.7,1013.0,4792.0,2334.0,40.0,28.0,7.0,10.0,15.0,1178.0,58.0,,20,79.0,7,7,21.0,5,2.26,38.0,15.0,38.5,12.1,7.0,9.0,1.0,30.0,0.0,104.0,27.0,16.0,62.8
38ceb24a,Leandro Trossard,Arsenal,be BEL,"FW,MF",28,34,18,"1,649",12,0,1.0,2.0,0.0,7.9,7.9,2.8,66.0,76.0,155.0,0.65,0.05,0.71,0.65,0.71,0.43,0.15,0.58,0.43,0.58,,,,,,,,,,,,,,,,12.0,60.0,22.0,36.7,3.27,1.2,0.2,0.55,16.1,0.0,0.0,0.0,7.9,7.9,0.13,4.1,4.1,494.0,673.0,73.4,7666.0,1927.0,271.0,315.0,86.0,181.0,241.0,75.1,31.0,60.0,51.7,1.0,2.8,3.2,-1.8,24.0,28.0,29.0,4.0,76.0,625.0,46.0,6.0,8.0,2.0,57.0,8.0,24.0,22.0,0.0,0.0,494.0,2.0,30.0,65.0,3.55,46.0,3.0,7.0,5.0,4.0,0.0,6.0,0.33,1.0,1.0,2.0,0.0,2.0,0.0,27.0,16.0,8.0,9.0,10.0,9.0,25.0,36.0,16.0,27.0,1.0,26.0,8.0,35.0,6.0,0.0,912.0,15.0,105.0,318.0,502.0,121.0,912.0,47.0,25.0,53.2,16.0,34.0,591.0,3651.0,1732.0,66.0,43.0,27.0,47.0,39.0,650.0,155.0,,18,72.0,3,16,22.0,3,2.32,45.0,10.0,37.3,13.6,15.0,20.0,9.0,57.0,0.0,88.0,5.0,10.0,33.3
b66315ae,Gabriel Jesus,Arsenal,br BRA,FW,26,27,17,"1,478",4,0,5.0,6.0,0.0,6.3,6.3,3.8,38.0,42.0,155.0,0.24,0.3,0.55,0.24,0.55,0.39,0.23,0.62,0.39,0.62,,,,,,,,,,,,,,,,4.0,55.0,19.0,34.5,3.35,1.16,0.07,0.21,12.2,0.0,0.0,0.0,6.3,6.3,0.12,-2.3,-2.3,403.0,513.0,78.6,5315.0,971.0,259.0,306.0,84.6,111.0,140.0,79.3,10.0,16.0,62.5,5.0,3.8,3.2,1.2,29.0,18.0,19.0,1.0,42.0,482.0,23.0,2.0,8.0,2.0,9.0,6.0,0.0,0.0,0.0,0.0,403.0,8.0,18.0,59.0,3.59,37.0,1.0,9.0,5.0,3.0,4.0,8.0,0.49,4.0,1.0,1.0,1.0,1.0,0.0,24.0,17.0,11.0,5.0,8.0,5.0,18.0,27.8,13.0,23.0,1.0,22.0,13.0,37.0,12.0,0.0,782.0,16.0,75.0,247.0,472.0,139.0,782.0,75.0,35.0,46.7,30.0,40.0,489.0,2654.0,1146.0,38.0,21.0,25.0,61.0,38.0,567.0,155.0,,17,78.0,4,10,16.0,3,2.19,29.0,11.0,31.3,11.4,26.0,32.0,16.0,9.0,0.0,59.0,15.0,38.0,28.3
