Id,Player,Team,Nation,Pos,Age,PT-MP,PT-Starts,PT-Minutues,P-Non-PG,P-PG,P-Ast,P-CrdY,P-CrdR,E-xG,E-npxG,E-xAG,Prg-C,Prg-P,Prg-R,P90-Gls,P90-Ast,P90-G+A,P90-G-PK,P90-G+A-PK,P90-xG,P90-xAG,P90-xG+xAG,P90-npxG,P90-npxGxAG90
972aeb2a,William Saliba,Arsenal,fr FRA,DF,22,38,38,"3,420",2,0,1,4,0,1.6,1.6,0.2,16,157,6,0.05,0.03,0.08,0.05,0.08,0.04,0.01,0.05,0.04,0.05
1c7012b8,Declan Rice,Arsenal,eng ENG,MF,24,38,37,"3,225",7,0,8,5,0,3.3,3.3,5.3,75,278,64,0.20,0.22,0.42,0.20,0.42,0.09,0.15,0.24,0.09,0.24
79300479,Martin Ødegaard,Arsenal,no NOR,MF,24,35,35,"3,091",6,2,10,2,0,7.4,5.8,9.6,91,344,202,0.23,0.29,0.52,0.17,0.47,0.22,0.28,0.50,0.17,0.45
35e413f1,Ben White,Arsenal,eng ENG,DF,25,37,35,"2,988",4,0,4,8,0,1.2,1.2,3.8,44,192,162,0.12,0.12,0.24,0.12,0.24,0.03,0.11,0.15,0.03,0.15
bc7dc64d,Bukayo Saka,Arsenal,eng ENG,FW,21,35,35,"2,919",10,6,9,4,0,15.5,10.8,10.5,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.80,0.33,0.65
67ac5bb8,Gabriel Magalhães,Arsenal,br BRA,DF,25,36,34,"3,044",4,0,0,4,0,4.3,4.3,0.7,13,117,8,0.12,0.00,0.12,0.12,0.12,0.13,0.02,0.15,0.13,0.15
98ea5115,David Raya,Arsenal,es ESP,GK,27,32,32,"2,880",0,0,0,2,0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
fed7cb61,Kai Havertz,Arsenal,de GER,"MF,FW",24,37,30,"2,634",12,1,7,11,0,12.3,11.6,4.4,55,99,191,0.44,0.24,0.68,0.41,0.65,0.42,0.15,0.57,0.39,0.54
48a5a5d6,Gabriel Martinelli,Arsenal,br BRA,FW,22,35,24,"2,019",6,0,4,1,0,6.8,6.8,6.1,127,65,345,0.27,0.18,0.45,0.27,0.45,0.31,0.27,0.58,0.31,0.58
51cf8561,Oleksandr Zinchenko,Arsenal,ua UKR,DF,26,27,20,"1,722",1,0,2,2,0,0.6,0.6,2.5,40,229,58,0.05,0.10,0.16,0.05,0.16,0.03,0.13,0.16,0.03,0.16
38ceb24a,Leandro Trossard,Arsenal,be BEL,"FW,MF",28,34,18,"1,649",12,0,1,2,0,7.9,7.9,2.8,66,76,155,0.65,0.05,0.71,0.65,0.71,0.43,0.15,0.58,0.43,0.58
b66315ae,Gabriel Jesus,Arsenal,br BRA,FW,26,27,17,"1,478",4,0,5,6,0,6.3,6.3,3.8,38,42,155,0.24,0.30,0.55,0.24,0.55,0.39,0.23,0.62,0.39,0.62
dc3e663e,Jakub Kiwior,Arsenal,pl POL,DF,23,20,11,946,1,0,3,1,0,0.8,0.8,0.9,4,55,16,0.10,0.29,0.38,0.10,0.38,0.08,0.09,0.16,0.08,0.16
b3af9be1,Takehiro Tomiyasu,Arsenal,jp JPN,DF,24,22,10,"1,149",2,0,1,2,1,1.5,1.5,0.4,17,72,37,0.16,0.08,0.23,0.16,0.23,0.12,0.03,0.15,0.12,0.15
a53649b7,Eddie Nketiah,Arsenal,eng ENG,FW,24,27,10,"1,082",5,0,2,3,0,4.5,4.5,0.8,22,20,77,0.42,0.17,0.58,0.42,0.58,0.38,0.07,0.45,0.38,0.45
45db685d,Jorginho,Arsenal,it ITA,MF,31,24,10,921,0,0,2,1,0,0.1,0.1,1.4,8,101,8,0.00,0.20,0.20,0.00,0.20,0.01,0.13,0.14,0.01,0.14
529f49ab,Thomas Partey,Arsenal,gh GHA,"MF,DF",30,14,9,788,0,0,0,3,0,0.4,0.4,0.3,15,72,10,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
466fb2c5,Aaron Ramsdale,Arsenal,eng ENG,GK,25,6,6,540,0,0,0,0,0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17695062,Emile Smith Rowe,Arsenal,eng ENG,MF,23,13,3,353,0,0,1,0,0,2.0,2.0,0.2,11,23,18,0.00,0.25,0.25,0.00,0.25,0.50,0.06,0.56,0.50,0.56
6412cc03,Fabio Vieira,Arsenal,pt POR,"MF,FW",23,11,2,297,0,1,2,0,1,1.3,0.5,1.6,12,15,30,0.30,0.61,0.91,0.00,0.61,0.38,0.49,0.87,0.14,0.64
c5bdb6e3,Reiss Nelson,Arsenal,eng ENG,FW,23,15,1,268,0,0,0,1,0,0.2,0.2,0.6,9,5,26,0.00,0.00,0.00,0.00,0.00,0.07,0.20,0.27,0.07,0.27
41034650,Jurriën Timber,Arsenal,nl NED,DF,22,2,1,71,0,0,0,2,0,0.0,0.0,0.0,0,8,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
839c14e1,Cédric Soares,Arsenal,pt POR,DF,31,3,0,62,0,0,0,0,0,0.0,0.0,0.0,0,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47a34c4f,Mohamed Elneny,Arsenal,eg EGY,MF,31,3,0,28,0,0,0,0,0,0.1,0.1,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26
7f94982c,Ethan Nwaneri,Arsenal,eng ENG,FW,16,1,0,14,0,0,0,0,0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15
9b67eca8,Mauro Bandeira,Arsenal,pt POR,MF,19,0,0,,0,0,,,,,,,,,,,,,,,,,,,
aaab4602,Bradley Ibrahim,Arsenal,eng ENG,MF,18,0,0,,0,0,,,,,,,,,,,,,,,,,,,
aa81d8f8,Karl Jakob Hein,Arsenal,ee EST,GK,21,0,0,,0,0,,,,,,,,,,,,,,,,,,,
5dff6c28,Myles Lewis-Skelly,Arsenal,eng ENG,MF,16,0,0,,0,0,,,,,,,,,,,,,,,,,,,
187ab096,Charles Sagoe Jr,Arsenal,eng ENG,FW,19,0,0,,0,0,,,,,,,,,,,,,,,,,,,
d4632cfa,James Sweet,Arsenal,wls WAL,DF,19,0,0,,0,0,,,,,,,,,,,,,,,,,,,
501ac0cc,Reuell Walters,Arsenal,eng ENG,DF,18,0,0,,0,0,,,,,,,,,,,,,,,,,,,
